Giver,Receiver,Year,Type,Points
DK,AL,2009,F,0.0
DK,AL,2009,SF2,6.0
DK,AL,2008,F,0.0
DK,AL,2008,SF2,0.0
DK,AL,2007,SF,0.0
DK,AL,2006,SF,0.0
DK,AL,2005,F,0.0
DK,AL,2004,F,4.0
DK,AL,2004,SF,7.0
EE,AL,2023,F,0.0
EE,AL,2023,SF2,
EE,AL,2021,F,0.0
EE,AL,2021,SF2,2.0
EE,AL,2019,F,0.0
EE,AL,2018,F,0.0
EE,AL,2018,SF1,1.0
EE,AL,2015,F,0.0
EE,AL,2015,SF1,0.0
EE,AL,2014,SF1,0.0
EE,AL,2012,F,0.0
EE,AL,2010,F,0.0
EE,AL,2010,SF1,0.0
EE,AL,2009,F,1.0
EE,AL,2009,SF2,0.0
EE,AL,2008,F,0.0
EE,AL,2007,SF,0.0
EE,AL,2006,SF,0.0
EE,AL,2005,F,0.0
EE,AL,2004,F,0.0
EE,AL,2004,SF,1.0
FI,AL,2023,F,0.0
FI,AL,2021,F,0.0
FI,AL,2021,SF2,7.0
FI,AL,2019,F,0.0
FI,AL,2018,F,0.0
FI,AL,2018,SF1,7.0
FI,AL,2017,SF1,0.0
FI,AL,2015,F,0.0
FI,AL,2015,SF1,0.0
FI,AL,2013,SF2,0.0
FI,AL,2012,F,6.0
FI,AL,2012,SF1,5.0
FI,AL,2011,SF1,0.0
FI,AL,2010,F,0.0
FI,AL,2010,SF1,4.0
FI,AL,2009,F,0.0
FI,AL,2008,F,0.0
FI,AL,2007,SF,0.0
FI,AL,2006,SF,0.0
FI,AL,2005,F,0.0
FI,AL,2004,F,3.0
FI,AL,2004,SF,6.0
FR,AL,2023,F,0.0
FR,AL,2022,SF1,5.0
FR,AL,2021,F,0.0
FR,AL,2021,SF2,3.0
FR,AL,2019,F,0.0
FR,AL,2018,F,0.0
FR,AL,2015,F,0.0
FR,AL,2015,SF1,7.0
FR,AL,2014,SF1,0.0
FR,AL,2013,SF2,0.0
FR,AL,2012,F,0.0
FR,AL,2010,F,0.0
FR,AL,2010,SF1,2.0
FR,AL,2009,F,0.0
FR,AL,2009,SF2,5.0
FR,AL,2008,F,0.0
FR,AL,2008,SF2,5.0
FR,AL,2007,SF,0.0
FR,AL,2006,SF,0.0
FR,AL,2005,F,1.0
FR,AL,2004,F,1.0
GE,AL,2023,F,0.0
GE,AL,2023,SF2,
GE,AL,2021,F,0.0
GE,AL,2021,SF2,2.0
GE,AL,2019,F,0.0
GE,AL,2018,F,4.0
GE,AL,2017,SF1,0.0
GE,AL,2016,SF2,0.0
GE,AL,2015,F,0.0
GE,AL,2015,SF1,6.0
GE,AL,2013,SF2,0.0
GE,AL,2012,F,3.0
GE,AL,2011,SF1,0.0
GE,AL,2010,F,0.0
GE,AL,2008,F,0.0
GE,AL,2008,SF2,0.0
GE,AL,2007,SF,0.0
DE,AL,2023,F,8.0
DE,AL,2021,F,0.0
DE,AL,2019,F,0.0
DE,AL,2019,SF2,2.0
DE,AL,2018,F,0.0
DE,AL,2016,SF2,0.0
DE,AL,2015,F,0.0
DE,AL,2013,SF2,0.0
DE,AL,2012,F,6.0
DE,AL,2010,F,1.0
DE,AL,2010,SF1,5.0
DE,AL,2009,F,0.0
DE,AL,2008,F,0.0
DE,AL,2007,SF,1.0
DE,AL,2006,SF,3.0
DE,AL,2005,F,0.0
DE,AL,2004,F,5.0
DE,AL,2004,SF,8.0
GR,AL,2023,F,7.0
GR,AL,2023,SF2,10.0
GR,AL,2022,SF1,24.0
GR,AL,2021,F,7.0
GR,AL,2021,SF2,16.0
GR,AL,2019,F,8.0
GR,AL,2018,F,17.0
GR,AL,2018,SF1,18.0
GR,AL,2017,SF1,15.0
GR,AL,2015,F,6.0
GR,AL,2015,SF1,10.0
GR,AL,2013,SF2,8.0
GR,AL,2012,F,10.0
GR,AL,2012,SF1,10.0
GR,AL,2011,SF1,12.0
GR,AL,2010,F,10.0
GR,AL,2010,SF1,12.0
GR,AL,2009,F,7.0
GR,AL,2009,SF2,10.0
GR,AL,2008,F,10.0
GR,AL,2007,SF,8.0
GR,AL,2006,SF,7.0
GR,AL,2005,F,10.0
GR,AL,2004,F,10.0
GR,AL,2004,SF,8.0
HU,AL,2019,F,0.0
HU,AL,2018,F,10.0
HU,AL,2015,F,0.0
HU,AL,2015,SF1,1.0
HU,AL,2014,SF1,0.0
HU,AL,2013,SF2,0.0
